Sigla Empresa;Fecha;Origen;Destino;Tipo de Equipo;Número de Vuelos;Horas Bloque;Sillas;Carga Ofrecida Kg;Pasajeros A Bordo;Distancia;Trafico;Tipo de Vuelo;Nombre Empresa;Ciudad Origen;Ciudad Destino;Pais Origen;Pais Destino;Apto_Origen;Apto_Destino;Grupo de Empresas;OW;Ruta;Millas;Año;Mes
KRE;1/02/2020;BOG;ADZ;732;2;4,71;0;30000;0;;Domestic;Regular;AEROSUCRE;BOGOTA;SAN ANDRES - ISLA;COLOMBIA;COLOMBIA;NA;NA;KRE;BOG-ADZ;ADZ-BOG;749;2020;feb
KRE;1/02/2020;ADZ;BOG;B722;5;9,81;0;120000;0;;Domestic;Regular;AEROSUCRE;SAN ANDRES - ISLA;BOGOTA;COLOMBIA;COLOMBIA;NA;NA;KRE;ADZ-BOG;ADZ-BOG;749;2020;feb
KRE;1/02/2020;ADZ;BOG;732;3;5,61;0;45000;0;;Domestic;Regular;AEROSUCRE;SAN ANDRES - ISLA;BOGOTA;COLOMBIA;COLOMBIA;NA;NA;KRE;ADZ-BOG;ADZ-BOG;749;2020;feb
AVA;1/02/2020;BOG;ADZ;A321;86;191,54;16541;222911;13742;;Domestic;Regular;AVIANCA;BOGOTA;SAN ANDRES - ISLA;COLOMBIA;COLOMBIA;NA;NA;AVA;BOG-ADZ;ADZ-BOG;749;2020;feb
AVA;1/02/2020;BOG;ADZ;A320;29;64,33;4352;112938;3536;;Domestic;Regular;AVIANCA;BOGOTA;SAN ANDRES - ISLA;COLOMBIA;COLOMBIA;NA;NA;AVA;BOG-ADZ;ADZ-BOG;749;2020;feb
AVA;1/02/2020;BOG;ADZ;A319;1;2,1;120;2828;109;;Domestic;Regular;AVIANCA;BOGOTA;SAN ANDRES - ISLA;COLOMBIA;COLOMBIA;NA;NA;AVA;BOG-ADZ;ADZ-BOG;749;2020;feb
AVA;1/02/2020;ADZ;BOG;A321;85;170,85;16304;336081;14859;;Domestic;Regular;AVIANCA;SAN ANDRES - ISLA;BOGOTA;COLOMBIA;COLOMBIA;NA;NA;AVA;ADZ-BOG;ADZ-BOG;749;2020;feb
AVA;1/02/2020;ADZ;BOG;A320;30;61,82;4499;115960;3814;;Domestic;Regular;AVIANCA;SAN ANDRES - ISLA;BOGOTA;COLOMBIA;COLOMBIA;NA;NA;AVA;ADZ-BOG;ADZ-BOG;749;2020;feb
AVA;1/02/2020;ADZ;BOG;A319;1;2,05;120;2301;118;;Domestic;Regular;AVIANCA;SAN ANDRES - ISLA;BOGOTA;COLOMBIA;COLOMBIA;NA;NA;AVA;ADZ-BOG;ADZ-BOG;749;2020;feb
ARE;1/02/2020;BOG;ADZ;A320;62;134,74;10764;1040378;8857;;Domestic;Regular;AIRES;BOGOTA;SAN ANDRES - ISLA;COLOMBIA;COLOMBIA;NA;NA;LAN;BOG-ADZ;ADZ-BOG;749;2020;feb
ARE;1/02/2020;BOG;ADZ;A319;54;116,34;7776;773537;6649;;Domestic;Regular;AIRES;BOGOTA;SAN ANDRES - ISLA;COLOMBIA;COLOMBIA;NA;NA;LAN;BOG-ADZ;ADZ-BOG;749;2020;feb
ARE;1/02/2020;ADZ;BOG;A320;65;125,82;11316;1206266;9929;;Domestic;Regular;AIRES;SAN ANDRES - ISLA;BOGOTA;COLOMBIA;COLOMBIA;NA;NA;LAN;ADZ-BOG;ADZ-BOG;749;2020;feb
ARE;1/02/2020;ADZ;BOG;A319;51;96,96;7344;843041;6616;;Domestic;Regular;AIRES;SAN ANDRES - ISLA;BOGOTA;COLOMBIA;COLOMBIA;NA;NA;LAN;ADZ-BOG;ADZ-BOG;749;2020;feb
VVC;1/01/2020;BOG;ADZ;A320;81;176,27;15172;0;13108;;Domestic;Regular;FAST COLOMBIA SAS;BOGOTA;SAN ANDRES - ISLA;COLOMBIA;COLOMBIA;NA;NA;VVC;BOG-ADZ;ADZ-BOG;749;2020;ene
VVC;1/01/2020;ADZ;BOG;A320;80;165,86;14984;0;13801;;Domestic;Regular;FAST COLOMBIA SAS;SAN ANDRES - ISLA;BOGOTA;COLOMBIA;COLOMBIA;NA;NA;VVC;ADZ-BOG;ADZ-BOG;749;2020;ene
RPB;1/01/2020;BOG;ADZ;B738;13;29,98;2392;111126;2053;;Domestic;Regular;AEROREPUBLICA;BOGOTA;SAN ANDRES - ISLA;COLOMBIA;COLOMBIA;NA;NA;CMP;BOG-ADZ;ADZ-BOG;749;2020;ene
RPB;1/01/2020;BOG;ADZ;B737;5;13,23;710;28555;574;;Domestic;Regular;AEROREPUBLICA;BOGOTA;SAN ANDRES - ISLA;COLOMBIA;COLOMBIA;NA;NA;CMP;BOG-ADZ;ADZ-BOG;749;2020;ene
RPB;1/01/2020;ADZ;BOG;B738;12;24,35;2206;102638;2042;;Domestic;Regular;AEROREPUBLICA;SAN ANDRES - ISLA;BOGOTA;COLOMBIA;COLOMBIA;NA;NA;CMP;ADZ-BOG;ADZ-BOG;749;2020;ene
RPB;1/01/2020;ADZ;BOG;B737;6;12,48;852;34266;809;;Domestic;Regular;AEROREPUBLICA;SAN ANDRES - ISLA;BOGOTA;COLOMBIA;COLOMBIA;NA;NA;CMP;ADZ-BOG;ADZ-BOG;749;2020;ene
KRE;1/01/2020;BOG;ADZ;B722;5;10,86;0;120000;0;;Domestic;Regular;AEROSUCRE;BOGOTA;SAN ANDRES - ISLA;COLOMBIA;COLOMBIA;NA;NA;KRE;BOG-ADZ;ADZ-BOG;749;2020;ene
KRE;1/01/2020;BOG;ADZ;732;2;4,69;0;30000;0;;Domestic;Regular;AEROSUCRE;BOGOTA;SAN ANDRES - ISLA;COLOMBIA;COLOMBIA;NA;NA;KRE;BOG-ADZ;ADZ-BOG;749;2020;ene
KRE;1/01/2020;ADZ;BOG;B722;4;7,67;0;96000;0;;Domestic;Regular;AEROSUCRE;SAN ANDRES - ISLA;BOGOTA;COLOMBIA;COLOMBIA;NA;NA;KRE;ADZ-BOG;ADZ-BOG;749;2020;ene
KRE;1/01/2020;ADZ;BOG;732;3;5,78;0;45000;0;;Domestic;Regular;AEROSUCRE;SAN ANDRES - ISLA;BOGOTA;COLOMBIA;COLOMBIA;NA;NA;KRE;ADZ-BOG;ADZ-BOG;749;2020;ene
AVA;1/01/2020;BOG;ADZ;A321;68;148,98;12863;172433;11225;;Domestic;Regular;AVIANCA;BOGOTA;SAN ANDRES - ISLA;COLOMBIA;COLOMBIA;NA;NA;AVA;BOG-ADZ;ADZ-BOG;749;2020;ene
AVA;1/01/2020;BOG;ADZ;A320;56;125,97;8381;199342;7150;;Domestic;Regular;AVIANCA;BOGOTA;SAN ANDRES - ISLA;COLOMBIA;COLOMBIA;NA;NA;AVA;BOG-ADZ;ADZ-BOG;749;2020;ene
AVA;1/01/2020;ADZ;BOG;A321;68;137,51;12784;264139;11886;;Domestic;Regular;AVIANCA;SAN ANDRES - ISLA;BOGOTA;COLOMBIA;COLOMBIA;NA;NA;AVA;ADZ-BOG;ADZ-BOG;749;2020;ene
AVA;1/01/2020;ADZ;BOG;A320;56;114,97;8400;191570;7710;;Domestic;Regular;AVIANCA;SAN ANDRES - ISLA;BOGOTA;COLOMBIA;COLOMBIA;NA;NA;AVA;ADZ-BOG;ADZ-BOG;749;2020;ene
